cell_id,cycle,efc,temperature,c_rate,dod,protocol,capacity_true,capacity_obs,soh,resistance_true,resistance_obs,seed
baseline_0,1,0.8,25,1.0,80,CC-CV,1.944785,1.951509,0.995468,0.048058,0.048441,42
baseline_0,2,1.6,25,1.0,80,CC-CV,1.941118,1.92758,0.993591,0.048259,0.047832,42
baseline_0,3,2.4,25,1.0,80,CC-CV,1.938304,1.923531,0.992151,0.048414,0.048359,42
baseline_0,4,3.2,25,1.0,80,CC-CV,1.935932,1.935151,0.990937,0.048544,0.04894,42
baseline_0,5,4.0,25,1.0,80,CC-CV,1.933842,1.928949,0.989867,0.048659,0.050621,42
baseline_0,6,4.8,25,1.0,80,CC-CV,1.931952,1.916099,0.9889,0.048763,0.048082,42
baseline_0,7,5.6,25,1.0,80,CC-CV,1.930215,1.932816,0.98801,0.048858,0.049182,42
baseline_0,8,6.4,25,1.0,80,CC-CV,1.928598,1.928291,0.987182,0.048947,0.049872,42
baseline_0,9,7.2,25,1.0,80,CC-CV,1.927079,1.932671,0.986405,0.04903,0.049243,42
baseline_0,10,8.0,25,1.0,80,CC-CV,1.925642,1.920018,0.98567,0.049109,0.049404,42
baseline_0,11,8.8,25,1.0,80,CC-CV,1.924275,1.915371,0.98497,0.049184,0.04906,42
baseline_0,12,9.6,25,1.0,80,CC-CV,1.92297,1.935319,0.984302,0.049256,0.050386,42
baseline_0,13,10.4,25,1.0,80,CC-CV,1.921718,1.919481,0.983661,0.049325,0.049416,42
baseline_0,14,11.2,25,1.0,80,CC-CV,1.920513,1.926139,0.983044,0.049391,0.049387,42
baseline_0,15,12.0,25,1.0,80,CC-CV,1.91935,1.911844,0.982449,0.049455,0.049661,42
baseline_0,16,12.8,25,1.0,80,CC-CV,1.918225,1.934936,0.981873,0.049517,0.049535,42
baseline_0,17,13.6,25,1.0,80,CC-CV,1.917135,1.927831,0.981315,0.049576,0.048384,42
baseline_0,18,14.4,25,1.0,80,CC-CV,1.916077,1.919796,0.980774,0.049634,0.049784,42
baseline_0,19,15.2,25,1.0,80,CC-CV,1.915048,1.929351,0.980247,0.049691,0.04952,42
baseline_0,20,16.0,25,1.0,80,CC-CV,1.914045,1.93091,0.979734,0.049746,0.048106,42
baseline_0,21,16.8,25,1.0,80,CC-CV,1.913068,1.918319,0.979233,0.0498,0.048825,42
baseline_0,22,17.6,25,1.0,80,CC-CV,1.912113,1.91637,0.978744,0.049852,0.049104,42
baseline_0,23,18.4,25,1.0,80,CC-CV,1.91118,1.902866,0.978267,0.049903,0.050032,42
baseline_0,24,19.2,25,1.0,80,CC-CV,1.910266,1.913573,0.977799,0.049954,0.049527,42
baseline_0,25,20.0,25,1.0,80,CC-CV,1.909372,1.910877,0.977342,0.050003,0.049202,42
baseline_0,26,20.8,25,1.0,80,CC-CV,1.908495,1.913818,0.976893,0.050051,0.050557,42
baseline_0,27,21.6,25,1.0,80,CC-CV,1.907635,1.898949,0.976453,0.050098,0.048944,42
baseline_0,28,22.4,25,1.0,80,CC-CV,1.906791,1.903981,0.976021,0.050144,0.050294,42
baseline_0,29,23.2,25,1.0,80,CC-CV,1.905962,1.908251,0.975596,0.05019,0.049793,42
baseline_0,30,24.0,25,1.0,80,CC-CV,1.905147,1.921356,0.975179,0.050235,0.04933,42
