cell_id,condition_id,cycle,efc,temperature,c_rate,dod,soh_observed,capacity_obs,resistance_growth,capacity_slope,resistance_slope,structure_q0_est,structure_fade_per_sqrt_efc,soh_true,final_soh,capacity_fade,final_resistance_growth,event_observed,lifetime_cycle,censor_cycle
T25_C0p5_D100_0,T25_C0p5_D100,300,300.0,25.0,0.5,100.0,0.9169095919232942,1.701334,0.17442315605648484,-0.0001918786000213015,0.000389497042581401,1.8779556426309894,0.005265692675402287,0.908593,0.805856,0.19414399999999998,0.455839693871253,False,1000,1000
T25_C0p5_D100_1,T25_C0p5_D100,300,300.0,25.0,0.5,100.0,0.9185241786646324,1.845175,0.18647567428055245,-0.00017158253989694693,0.00040932974443398543,2.0351893767733515,0.004784013527499677,0.918594,0.827097,0.17290300000000003,0.4629250217959895,False,1000,1000
T25_C0p5_D100_2,T25_C0p5_D100,300,300.0,25.0,0.5,100.0,0.920617008306683,1.766218,0.20078466236326387,-0.00013721123972624857,0.0003355991739253522,1.9394633844905318,0.004982953042700446,0.913992,0.817323,0.18267699999999998,0.4502579939019624,False,1000,1000
T25_C0p5_D100_3,T25_C0p5_D100,300,300.0,25.0,0.5,100.0,0.9207724591347267,1.887892,0.19995252882884662,-0.0001518137577059808,0.0004281162337014201,2.070594940685817,0.005041328944165561,0.912884,0.814969,0.18503099999999995,0.44713411802709424,False,1000,1000
T25_C0p5_D50_0,T25_C0p5_D50,300,150.0,25.0,0.5,50.0,0.9579442258249623,1.876379,0.07394373572969681,-8.502800497432572e-05,0.0002270252790376735,1.977602130843313,0.004057175739636003,0.949947,0.908616,0.09138400000000002,0.21023898035050448,False,1000,1000
T25_C0p5_D50_1,T25_C0p5_D50,300,150.0,25.0,0.5,50.0,0.9595386933770278,1.954161,0.09959702832260642,-0.00010319928486598269,0.0002658722739025858,2.045195098521494,0.0035470275958735375,0.954766,0.917414,0.08258600000000005,0.21504835589941962,False,1000,1000
T25_C0p5_D50_2,T25_C0p5_D50,300,150.0,25.0,0.5,50.0,0.9601993468289924,1.795676,0.08307845236274658,-7.150386274104535e-05,0.00019741311185713937,1.8818641113531414,0.003960194768421212,0.951601,0.911635,0.08836500000000003,0.20574404414908098,False,1000,1000
T25_C0p5_D50_3,T25_C0p5_D50,300,150.0,25.0,0.5,50.0,0.9504138879524331,2.073508,0.11672809172809173,-9.982618469488912e-05,0.00024308462787310455,2.1889015439744224,0.004152178918675279,0.950277,0.909218,0.09078200000000003,0.20756656728693335,False,1000,1000
T25_C0p5_D80_0,T25_C0p5_D80,300,240.0,25.0,0.5,80.0,0.9409323517746413,1.848073,0.16757524638195864,-0.00014573146246938025,0.00032180243683606346,1.9806812303335941,0.004489616270662299,0.930977,0.865843,0.13415699999999997,0.34165571616294366,False,1000,1000
T25_C0p5_D80_1,T25_C0p5_D80,300,240.0,25.0,0.5,80.0,0.932874472385973,1.676159,0.12263335221682214,-9.172374765660494e-05,0.00033995766671690656,1.8123911743452372,0.004942853603108262,0.922393,0.849159,0.150841,0.31280783185033534,False,1000,1000
T25_C0p5_D80_2,T25_C0p5_D80,300,240.0,25.0,0.5,80.0,0.9302790989636446,1.874731,0.1553210835006944,-0.00011530550370982982,0.00024530099063681563,2.031891088843921,0.004604774647024045,0.930437,0.864794,0.13520600000000005,0.3422857026592607,False,1000,1000
T25_C0p5_D80_3,T25_C0p5_D80,300,240.0,25.0,0.5,80.0,0.9363770446291655,1.823032,0.1599340236773017,-0.00012297835848767044,0.0003068933199914676,1.9664194924404386,0.0046432343776303085,0.928391,0.860817,0.13918299999999995,0.35644165768590175,False,1000,1000
T25_C1_D100_0,T25_C1_D100,300,300.0,25.0,1.0,100.0,0.9090255569638324,1.881597,0.18471302224031394,-0.00019426119222883486,0.0002951099239739299,2.096650154647832,0.005443765437709737,0.903687,0.795436,0.20456399999999997,0.48309442634067334,True,975,1000
