id,temperature_C,c_rate,dod_pct,n_cells,protocol
T25_C0p5_D50,25.0,0.5,50.0,4,CC-CV
T25_C0p5_D80,25.0,0.5,80.0,4,CC-CV
T25_C0p5_D100,25.0,0.5,100.0,4,CC-CV
T25_C1_D50,25.0,1.0,50.0,4,CC-CV
baseline,25.0,1.0,80.0,4,CC-CV
T25_C1_D100,25.0,1.0,100.0,4,CC-CV
T25_C2_D50,25.0,2.0,50.0,4,CC-CV
T25_C2_D80,25.0,2.0,80.0,4,CC-CV
T25_C2_D100,25.0,2.0,100.0,4,CC-CV
T35_C0p5_D50,35.0,0.5,50.0,4,CC-CV
T35_C0p5_D80,35.0,0.5,80.0,4,CC-CV
T35_C0p5_D100,35.0,0.5,100.0,4,CC-CV
T35_C1_D50,35.0,1.0,50.0,4,CC-CV
T35_C1_D80,35.0,1.0,80.0,4,CC-CV
T35_C1_D100,35.0,1.0,100.0,4,CC-CV
T35_C2_D50,35.0,2.0,50.0,4,CC-CV
T35_C2_D80,35.0,2.0,80.0,4,CC-CV
T35_C2_D100,35.0,2.0,100.0,4,CC-CV
T45_C0p5_D50,45.0,0.5,50.0,4,CC-CV
T45_C0p5_D80,45.0,0.5,80.0,4,CC-CV
T45_C0p5_D100,45.0,0.5,100.0,4,CC-CV
T45_C1_D50,45.0,1.0,50.0,4,CC-CV
T45_C1_D80,45.0,1.0,80.0,4,CC-CV
T45_C1_D100,45.0,1.0,100.0,4,CC-CV
T45_C2_D50,45.0,2.0,50.0,4,CC-CV
T45_C2_D80,45.0,2.0,80.0,4,CC-CV
T45_C2_D100,45.0,2.0,100.0,4,CC-CV
