cell_id,condition_id,dod_pct,status,detected_knee_efc,nominal_knee_efc,max_observed_efc,sse,slope_before,slope_after,slope_axis,absolute_error_efc
T25_C0p5_D100_0,T25_C0p5_D100,100.0,DETECTED_IN_SIMULATION,676.0,700,1000.0,0.00757468114913205,-0.005168703547309505,-0.010650470021537715,sqrt(EFC),24.0
T25_C0p5_D100_1,T25_C0p5_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.007052754961169613,-0.004762869776560243,-0.008982643352100701,sqrt(EFC),1.0
T25_C0p5_D100_2,T25_C0p5_D100,100.0,DETECTED_IN_SIMULATION,726.0,700,1000.0,0.007206703767946253,-0.005073523791532826,-0.010616663058782835,sqrt(EFC),26.0
T25_C0p5_D100_3,T25_C0p5_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.0071093747869581,-0.005077478861926759,-0.010172516119646575,sqrt(EFC),14.0
T25_C0p5_D50_0,T25_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C0p5_D50_1,T25_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C0p5_D50_2,T25_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C0p5_D50_3,T25_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C0p5_D80_0,T25_C0p5_D80,80.0,DETECTED_IN_SIMULATION,700.8,700,800.0,0.006763981784287636,-0.004467228031623857,-0.00965399717982241,sqrt(EFC),0.7999999999999545
T25_C0p5_D80_1,T25_C0p5_D80,80.0,DETECTED_IN_SIMULATION,724.8,700,800.0,0.006899360813174595,-0.005000270197386164,-0.015713455028245227,sqrt(EFC),24.799999999999955
T25_C0p5_D80_2,T25_C0p5_D80,80.0,DETECTED_IN_SIMULATION,636.8,700,800.0,0.008665370225565574,-0.004426877315971536,-0.006706113898428819,sqrt(EFC),63.200000000000045
