condition_id,normal_rows,degradation_rows,critical_rows
T25_C0p5_D100,2785,1215,0
T25_C0p5_D50,4000,0,0
T25_C0p5_D80,3465,535,0
T25_C1_D100,2755,1189,56
T25_C1_D50,4000,0,0
T25_C2_D100,2795,922,283
T25_C2_D50,4000,0,0
T25_C2_D80,3455,545,0
T35_C0p5_D100,2755,785,460
T35_C0p5_D50,4000,0,0
T35_C0p5_D80,3465,535,0
T35_C1_D100,2780,497,723
T35_C1_D50,4000,0,0
T35_C1_D80,3175,825,0
T35_C2_D100,2785,215,1000
T35_C2_D50,4000,0,0
T35_C2_D80,3370,581,49
T45_C0p5_D100,2722,73,1205
T45_C0p5_D50,4000,0,0
T45_C0p5_D80,3495,450,55
T45_C1_D100,2592,2,1406
T45_C1_D50,4000,0,0
T45_C1_D80,3405,221,374
T45_C2_D100,2131,0,1869
T45_C2_D50,4000,0,0
T45_C2_D80,3096,0,904
baseline,3240,760,0
