held_out_condition,model,n_test,mae,rmse,r2
T25_C0p5_D100,persistence,72,0.0168104469999044,0.01721585944873216,0.7687796603253807
T25_C0p5_D100,local_linear,72,0.008685361255352242,0.00964820685377386,0.9273790660246157
T25_C0p5_D100,ridge,72,0.0035066177703622897,0.004263064857685767,0.9858220807650172
T25_C0p5_D100,random_forest,72,0.003505552551573626,0.0044499406086409106,0.9845518297359026
T25_C0p5_D50,persistence,72,0.009931976734483233,0.010618662027302116,0.5757724260157997
T25_C0p5_D50,local_linear,72,0.006321104737508297,0.00713677907980593,0.8083698658658657
T25_C0p5_D50,ridge,72,0.003596982218667336,0.004332150013262512,0.9293899903550554
T25_C0p5_D50,random_forest,72,0.0031278041559308863,0.004026622826204912,0.9389984037820277
T25_C0p5_D80,persistence,72,0.013453908736529059,0.013961935269947892,0.7032297504591696
T25_C0p5_D80,local_linear,72,0.00745985857036284,0.008483092672068863,0.8904436526537857
T25_C0p5_D80,ridge,72,0.0029395462292493907,0.003534492236122546,0.9809811967567668
T25_C0p5_D80,random_forest,72,0.004147969086949386,0.004940675704970008,0.9628377655530224
T25_C1_D100,persistence,72,0.01925010295294469,0.019643834666376248,0.7416377097988596
T25_C1_D100,local_linear,72,0.010452974459689445,0.011327585156516651,0.9140885089346191
T25_C1_D100,ridge,72,0.002631398691521179,0.0034475093874579096,0.9920423011447536
T25_C1_D100,random_forest,72,0.0032555240182299983,0.004051519076641096,0.9890096287879473
T25_C1_D50,persistence,72,0.011376279222321506,0.01232921401385818,0.46638782184614824
T25_C1_D50,local_linear,72,0.0076812619688163076,0.00893251990656389,0.7199065612606812
T25_C1_D50,ridge,72,0.0035890073040814995,0.004428743394170785,0.9311480911479443
T25_C1_D50,random_forest,72,0.00370624017719544,0.004430498053554413,0.9310935223595267
T25_C2_D100,persistence,72,0.019928937903003756,0.020349167619828294,0.7664343523553719
T25_C2_D100,local_linear,72,0.010007002676407556,0.011190592905477434,0.9293646886263305
T25_C2_D100,ridge,72,0.0036121406770787123,0.00439178474304883,0.9891207799546853
T25_C2_D100,random_forest,72,0.0036783160970583592,0.0045670138496584035,0.9882353143631444
T25_C2_D50,persistence,72,0.012115934778683148,0.012716501101237733,0.5910343687341025
T25_C2_D50,local_linear,72,0.0072319342707874495,0.008140720821235434,0.8323987442287849
T25_C2_D50,ridge,72,0.0028001825212105097,0.0035070248151259434,0.9688950703403525
T25_C2_D50,random_forest,72,0.0025813560700873256,0.0034129354637830863,0.9705416988172948
T25_C2_D80,persistence,72,0.013642315156858606,0.014439846940592214,0.7413178448370964
T25_C2_D80,local_linear,72,0.006954926455986753,0.008250161004596138,0.9155565168435198
T25_C2_D80,ridge,72,0.005093040848772556,0.006012513133139279,0.9551509377389988
T25_C2_D80,random_forest,72,0.004522292026583046,0.005402402596050394,0.9637911124870462
