alternative,selected_group,cell_id
performance,1,T25_C0p5_D50_0
performance,1,T25_C0p5_D50_1
performance,1,T25_C0p5_D50_2
performance,1,T25_C1_D50_1
performance,2,T25_C0p5_D50_3
performance,2,T25_C1_D50_0
performance,2,T25_C1_D50_2
performance,2,T25_C1_D50_3
performance,3,T25_C0p5_D80_0
performance,3,T45_C0p5_D50_0
performance,3,T45_C1_D50_1
performance,3,baseline_1
performance,4,T25_C2_D50_0
performance,4,T25_C2_D50_1
performance,4,T25_C2_D50_3
performance,4,T35_C0p5_D50_2
performance,5,T25_C2_D50_2
performance,5,T35_C0p5_D50_0
performance,5,T35_C0p5_D50_3
performance,5,T35_C1_D50_3
performance,6,T35_C0p5_D50_1
performance,6,T35_C1_D50_0
performance,6,T35_C1_D50_1
performance,6,T35_C2_D50_1
performance,7,T35_C1_D50_2
performance,7,T35_C2_D50_0
performance,7,T35_C2_D50_3
performance,7,T45_C0p5_D50_1
performance,8,T35_C2_D50_2
performance,8,T45_C0p5_D50_2
performance,8,T45_C1_D50_0
performance,8,T45_C1_D50_2
balanced,1,T25_C0p5_D50_0
balanced,1,T25_C0p5_D50_1
balanced,1,T25_C0p5_D50_2
balanced,1,T25_C1_D50_1
balanced,2,T25_C0p5_D50_3
balanced,2,T25_C1_D50_0
balanced,2,T25_C1_D50_2
balanced,2,T25_C1_D50_3
balanced,3,T25_C0p5_D80_0
balanced,3,T35_C2_D50_0
balanced,3,T45_C0p5_D50_1
balanced,3,T45_C0p5_D50_2
balanced,4,T25_C0p5_D80_3
balanced,4,T45_C0p5_D50_0
balanced,4,T45_C1_D50_1
balanced,4,baseline_1
balanced,5,T25_C2_D50_0
balanced,5,T25_C2_D50_1
balanced,5,T25_C2_D50_3
balanced,5,T35_C1_D50_2
balanced,6,T25_C2_D50_2
balanced,6,T35_C0p5_D50_2
balanced,6,T35_C0p5_D50_3
balanced,6,T35_C1_D50_0
balanced,7,T35_C0p5_D50_0
balanced,7,T35_C0p5_D50_1
balanced,7,T35_C1_D50_1
balanced,7,T35_C2_D50_1
balanced,8,T35_C2_D50_2
balanced,8,T45_C1_D50_0
balanced,8,T45_C1_D50_2
balanced,8,baseline_3
conservative,1,T25_C0p5_D50_0
conservative,1,T25_C0p5_D50_1
conservative,1,T25_C0p5_D50_2
conservative,1,T25_C1_D50_1
conservative,2,T25_C0p5_D50_3
conservative,2,T25_C1_D50_0
conservative,2,T25_C1_D50_2
conservative,2,T25_C1_D50_3
conservative,3,T25_C0p5_D80_0
conservative,3,T35_C2_D50_0
conservative,3,T35_C2_D50_3
conservative,3,T45_C0p5_D50_1
conservative,4,T25_C0p5_D80_3
conservative,4,T45_C0p5_D50_0
conservative,4,T45_C1_D50_1
conservative,4,baseline_1
conservative,5,T25_C2_D50_0
conservative,5,T25_C2_D50_1
conservative,5,T25_C2_D50_3
conservative,5,T35_C1_D50_2
conservative,6,T25_C2_D50_2
conservative,6,T35_C0p5_D50_2
conservative,6,T35_C0p5_D50_3
conservative,6,T35_C1_D50_0
conservative,7,T35_C0p5_D50_0
conservative,7,T35_C0p5_D50_1
conservative,7,T35_C1_D50_1
conservative,7,T35_C2_D50_1
conservative,8,T35_C2_D50_2
conservative,8,T45_C0p5_D50_2
conservative,8,T45_C1_D50_0
conservative,8,T45_C1_D50_2
balanced_greedy,1,T25_C0p5_D50_1
balanced_greedy,1,T25_C1_D50_0
balanced_greedy,1,T25_C1_D50_2
balanced_greedy,1,T25_C1_D50_3
balanced_greedy,2,T25_C2_D50_2
balanced_greedy,2,T35_C0p5_D50_2
balanced_greedy,2,T35_C0p5_D50_3
balanced_greedy,2,T35_C1_D50_0
balanced_greedy,3,T25_C0p5_D50_0
balanced_greedy,3,T25_C0p5_D50_2
balanced_greedy,3,T25_C1_D50_1
balanced_greedy,3,T25_C2_D50_1
balanced_greedy,4,T25_C2_D50_0
balanced_greedy,4,T25_C2_D50_3
balanced_greedy,4,T35_C0p5_D50_1
balanced_greedy,4,T35_C1_D50_2
balanced_greedy,5,T35_C1_D50_1
balanced_greedy,5,T35_C2_D50_0
balanced_greedy,5,T35_C2_D50_1
balanced_greedy,5,T45_C0p5_D50_1
balanced_greedy,6,T25_C0p5_D80_3
balanced_greedy,6,T45_C0p5_D50_0
balanced_greedy,6,T45_C1_D50_1
balanced_greedy,6,baseline_1
balanced_greedy,7,T35_C2_D50_2
balanced_greedy,7,T45_C0p5_D50_2
balanced_greedy,7,T45_C1_D50_0
balanced_greedy,7,T45_C1_D50_2
balanced_greedy,8,T25_C0p5_D80_0
balanced_greedy,8,T25_C0p5_D80_2
balanced_greedy,8,baseline_2
balanced_greedy,8,baseline_3
