parameter,level,parameter_value,scenario,final_soh_mean,resistance_growth_mean,critical_fraction
alpha,low,0.0036000000000000003,baseline,0.868195375,0.3478627196570568,0.0
alpha,low,0.0036000000000000003,combined_stress,0.7155677083333333,0.748611674532687,1.0
alpha,low,0.0036000000000000003,high_c_rate,0.85636875,0.38033087917524205,0.0
alpha,low,0.0036000000000000003,high_dod,0.8224465416666668,0.46142156436565934,0.0
alpha,low,0.0036000000000000003,high_temperature,0.8072512499999999,0.5198810398603007,0.16666666666666666
alpha,base,0.004,baseline,0.8535503750000001,0.3478627196570568,0.0
alpha,base,0.004,combined_stress,0.6839641666666666,0.748611674532687,1.0
alpha,base,0.004,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
alpha,base,0.004,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
alpha,base,0.004,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
alpha,high,0.0044,baseline,0.8389054583333332,0.3478627196570568,0.0
alpha,high,0.0044,combined_stress,0.6523606666666666,0.748611674532687,1.0
alpha,high,0.0044,high_c_rate,0.82445075,0.38033087917524205,0.0
alpha,high,0.0044,high_dod,0.7829904166666667,0.46142156436565934,1.0
alpha,high,0.0044,high_temperature,0.7644184583333334,0.5198810398603007,1.0
beta,low,0.009000000000000001,baseline,0.8535503750000001,0.31340891264794496,0.0
beta,low,0.009000000000000001,combined_stress,0.6839641666666666,0.6751678665090383,1.0
beta,low,0.009000000000000001,high_c_rate,0.8404096249999999,0.342693940200792,0.0
beta,low,0.009000000000000001,high_dod,0.8027185,0.4158188258636763,0.2916666666666667
beta,low,0.009000000000000001,high_temperature,0.7858348749999999,0.4686380106502231,0.9583333333333334
beta,base,0.01,baseline,0.8535503750000001,0.3478627196570568,0.0
beta,base,0.01,combined_stress,0.6839641666666666,0.748611674532687,1.0
beta,base,0.01,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
beta,base,0.01,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
beta,base,0.01,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
beta,high,0.011000000000000001,baseline,0.8535503750000001,0.38223804822720986,0.0
beta,high,0.011000000000000001,combined_stress,0.6839641666666666,0.8217480183238565,1.0
beta,high,0.011000000000000001,high_c_rate,0.8404096249999999,0.41787643132334695,0.0
beta,high,0.011000000000000001,high_dod,0.8027185,0.5069068664612476,0.2916666666666667
beta,high,0.011000000000000001,high_temperature,0.7858348749999999,0.5709557836090123,0.9583333333333334
k_T,low,0.018000000000000002,baseline,0.8535503750000001,0.3478627196570568,0.0
k_T,low,0.018000000000000002,combined_stress,0.6963561666666668,0.7198496118073523,1.0
k_T,low,0.018000000000000002,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
k_T,low,0.018000000000000002,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
k_T,low,0.018000000000000002,high_temperature,0.7942324583333334,0.4998086454976234,0.7083333333333334
k_T,base,0.02,baseline,0.8535503750000001,0.3478627196570568,0.0
k_T,base,0.02,combined_stress,0.6839641666666666,0.748611674532687,1.0
k_T,base,0.02,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
k_T,base,0.02,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
k_T,base,0.02,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
k_T,high,0.022000000000000002,baseline,0.8535503750000001,0.3478627196570568,0.0
k_T,high,0.022000000000000002,combined_stress,0.6710665833333334,0.7784962338116092,1.0
k_T,high,0.022000000000000002,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
k_T,high,0.022000000000000002,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
k_T,high,0.022000000000000002,high_temperature,0.777094625,0.540742853062957,1.0
k_C,low,0.09000000000000001,baseline,0.854247875,0.34622324994123943,0.0
k_C,low,0.09000000000000001,combined_stress,0.6880862916666667,0.7390483156629205,1.0
k_C,low,0.09000000000000001,high_c_rate,0.8424914166666667,0.37542673595344755,0.0
k_C,low,0.09000000000000001,high_dod,0.8036579583333333,0.45924861539270867,0.25
k_C,low,0.09000000000000001,high_temperature,0.7868547499999999,0.5174395691225577,0.9166666666666666
k_C,base,0.1,baseline,0.8535503750000001,0.3478627196570568,0.0
k_C,base,0.1,combined_stress,0.6839641666666666,0.748611674532687,1.0
k_C,base,0.1,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
k_C,base,0.1,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
k_C,base,0.1,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
