parameter,scenario,normalized_final_soh_mean_change,normalized_resistance_growth_mean_change
alpha,baseline,-0.17157696560479402,0.0
alpha,combined_stress,-0.46206398483351363,0.0
alpha,high_c_rate,-0.18989549292703548,0.0
alpha,high_dod,-0.24576563888835296,0.0
alpha,high_temperature,-0.2725304833707363,0.0
beta,baseline,0.0,0.989314630310495
beta,combined_stress,0.0,0.979013264162086
beta,high_c_rate,0.0,0.9883826851712675
beta,high_dod,0.0,0.9870371004744312
beta,high_temperature,0.0,0.9840498605823697
k_T,baseline,0.0,0.0
k_T,combined_stress,-0.18487506046247612,0.39170256088289296
k_T,high_c_rate,0.0,0.0
k_T,high_dod,0.0,0.0
k_T,high_temperature,-0.10904220389387406,0.39368821352220507
k_C,baseline,-0.008171261518493145,0.047135420222743134
k_C,combined_stress,-0.06026875189611516,0.12772773113507496
k_C,high_c_rate,-0.024769171343082683,0.12895770492406844
k_C,high_dod,-0.01170319981413196,0.04701397481590749
k_C,high_temperature,-0.012978500519377288,0.04689112748632387
k_D,baseline,-0.02238029399651106,0.12902910071960083
k_D,combined_stress,-0.09241377167663412,0.1957979013723095
k_D,high_c_rate,-0.02476917134308268,0.1289577049240684
k_D,high_dod,-0.04915380256798217,0.19740307021738118
k_D,high_temperature,-0.035548445636666294,0.12842420603984603
n_k_EFC,baseline,0.0754744557402376,-0.45333223032409253
n_k_EFC,combined_stress,0.1663641004584797,-0.37011349358274886
n_k_EFC,high_c_rate,0.0835321822974122,-0.45337890433919864
n_k_EFC,high_dod,0.08848758936040504,-0.37010658511989614
n_k_EFC,high_temperature,0.11988232048537237,-0.45332037551649546
sigma_cell,baseline,-0.0011871980412788948,-0.0034028605916410033
sigma_cell,combined_stress,-0.0006844291306682933,-0.0037302120768930368
sigma_cell,high_c_rate,-0.0003601914165767161,-0.004032848866674754
sigma_cell,high_dod,-0.005162924487227228,-0.004844443342655612
sigma_cell,high_temperature,0.0035620290670690512,0.0036984324045716515
