regime,rank,ranking_changed_vs_none,relative_rmse_vs_persistence,rpt_period_cycles,capacity_recovery_pct,resistance_recovery_pct,outlier_fraction,outlier_scale,model,n_records,mae,rmse,r2,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,r2_ci_low,r2_ci_high
none,1,False,-0.7826983348288522,0,0.0,0.0,0.0,0.0,ridge,1944,0.003345385328460225,0.004205981748378949,0.9935769005739102,0.0031493032415285836,0.0035417737023899585,0.003961605335698836,0.004446577022460856,0.9926056477314954,0.9943525844283355
none,2,False,-0.7658937118252211,0,0.0,0.0,0.0,0.0,random_forest,1944,0.003583233005207651,0.004531243580063458,0.9925450506971405,0.003419574964211293,0.003754160572007783,0.004303026772452311,0.004761239974798587,0.9914692174535427,0.993380781932276
none,3,False,-0.41911571622363275,0,0.0,0.0,0.0,0.0,local_linear,1944,0.009981784580527198,0.011243304065614556,0.9541015743585031,0.00951401591508722,0.010463161944389161,0.010731054610693022,0.011751530201115953,0.9489095452349251,0.9587331935882406
none,4,False,0.0,0,0.0,0.0,0.0,0.0,persistence,1944,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.01716153453501504,0.01893472708471825,0.01846267702314847,0.020227445470400594,0.8497244191045962,0.8757998250416936
light,1,False,-0.7888596784532351,50,0.4,0.8,0.002,3.0,ridge,1944,0.003370864516142076,0.004223629238100615,0.9935228873191674,0.0031823838354483594,0.00357911542837965,0.003990343575166588,0.004472094634515086,0.9925734678806797,0.9943426770912942
light,2,False,-0.7711762980962307,50,0.4,0.8,0.002,3.0,random_forest,1944,0.0036178836189580026,0.004577365756815518,0.9923925149095463,0.003455179859663322,0.00379675886737898,0.004352030073081358,0.004812767889255204,0.99124193175732,0.9932636394070613
light,3,False,-0.4060773131385015,50,0.4,0.8,0.002,3.0,local_linear,1944,0.010644271091485918,0.011880768235184762,0.9487494034285181,0.01015924659147284,0.011121306186493379,0.011332232838565097,0.012389573052196273,0.9429373050135255,0.9536758823839099
light,4,False,0.0,50,0.4,0.8,0.002,3.0,persistence,1944,0.01874359848168829,0.02000389696842029,0.8547088720998246,0.0178497006191741,0.019636833377161742,0.019101750111499352,0.02088644086449589,0.8398405314704381,0.867122466624669
heavy,1,False,-0.7901847228121197,25,1.0,2.0,0.005,5.0,ridge,1944,0.003485756005160422,0.004343819508207231,0.9931490086368874,0.003301199390381757,0.0036975021315824126,0.004093664895962112,0.004624378306806656,0.9921554484901968,0.9940078212359069
heavy,2,False,-0.775901031543548,25,1.0,2.0,0.005,5.0,random_forest,1944,0.0036715329062106867,0.004639535709683218,0.9921844612496155,0.0035005915181473505,0.003852843042278936,0.004398467259867954,0.00488665786010267,0.9910239304851347,0.9930488353632048
heavy,3,False,-0.3921118226269007,25,1.0,2.0,0.005,5.0,local_linear,1944,0.011355134461760117,0.012585148989495674,0.9424922203732574,0.010844881076292737,0.011817208637157666,0.012028003804049319,0.013108239036159685,0.9359045857021161,0.94779274831233
heavy,4,False,0.0,25,1.0,2.0,0.005,5.0,persistence,1944,0.01944812207881029,0.02070306588932289,0.8443750568436554,0.018537005672553515,0.020333457260204357,0.01977879154573806,0.02158692193081394,0.8287354937378714,0.8575112055288928
