seed,decision_mode,risk_set_cells,eligible_cells,eligible_rate,n_groups,max_feasible_groups,requested_groups,group_shortfall,decision_status,thresholds_relaxed,abstention_reasons,selected_cell_count,solver_status,selected_cell_ids
42,INTERVAL_RISK,94,23,0.24468085106382978,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
123,INTERVAL_RISK,94,17,0.18085106382978725,4,4,8,4,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,16,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D80_3;T35_C0p5_D80_1;T35_C2_D80_0;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D50_1;T45_C1_D80_2;T45_C2_D50_3;baseline_1
2026,INTERVAL_RISK,94,17,0.18085106382978725,4,4,8,4,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,16,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C2_D100_0;T25_C2_D100_3;T35_C0p5_D100_2;T35_C1_D80_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_2
4096,INTERVAL_RISK,92,25,0.2717391304347826,6,6,8,2,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,24,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_2;T35_C0p5_D100_2;T35_C0p5_D80_0;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2;baseline_2
8110,INTERVAL_RISK,94,28,0.2978723404255319,7,7,8,1,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,28,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_3;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2
17001,INTERVAL_RISK,95,17,0.17894736842105263,4,4,8,4,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,16,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_3;T35_C0p5_D100_2;T35_C0p5_D80_1;T35_C1_D80_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C0p5_D80_3
17002,INTERVAL_RISK,96,21,0.21875,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_3;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_3;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C1_D100_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_2;T45_C1_D80_3
17003,INTERVAL_RISK,95,32,0.3368421052631579,8,8,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_2;T25_C2_D100_3;T25_C2_D80_1;T25_C2_D80_3;T35_C0p5_D100_3;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C1_D100_1;T35_C1_D80_0;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3;T45_C2_D80_3
17004,INTERVAL_RISK,96,22,0.22916666666666666,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T35_C0p5_D100_2;T35_C1_D100_0;T35_C1_D80_3;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_3
17005,INTERVAL_RISK,93,27,0.2903225806451613,6,6,8,2,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,24,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_3;T25_C2_D80_1;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C0p5_D80_3;T35_C1_D100_2;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_3
17006,INTERVAL_RISK,96,8,0.08333333333333333,2,2,8,6,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,8,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C1_D100_0;T25_C2_D100_1;T25_C2_D80_3;T35_C2_D80_3;T45_C0p5_D80_3;T45_C1_D80_0
