seed,parameter,parameter_value,weights_name,changed_parameter_count,risk_set_cells,eligible_cells,eligible_rate,n_groups,infeasible,decision_status,requested_groups,max_feasible_groups,group_shortfall,abstention_reasons,thresholds_relaxed,objective,objective_delta,selected_cell_jaccard,selected_cell_count,worst_selected_soh_margin,worst_selected_rul_lower_margin_cycles,worst_selected_resistance_growth_margin,worst_selected_interval_width_margin_cycles,solver_status,selected_cell_ids
42,baseline,,balanced,0,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.16827947697751255,0.0,1.0,20,0.07187659738471097,3.2587886166639635,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,min_soh,0.74,balanced,1,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.16827947697751255,0.0,1.0,20,0.09187659738471099,3.2587886166639635,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,min_soh,0.78,balanced,1,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.16827947697751255,0.0,1.0,20,0.051876597384710954,3.2587886166639635,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,min_rul_lower_cycles,20,balanced,1,94,29,0.30851063829787234,7,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,7,1,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.5916257637265611,-0.4233462867490485,0.7142857142857143,28,0.06789418316182527,0.05338908333570558,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_3;T45_C2_D80_1
42,min_rul_lower_cycles,60,balanced,1,94,20,0.2127659574468085,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.2583644313770756,-0.09008495439956304,0.8181818181818182,20,0.07187659738471097,0.39986120372721956,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,max_resistance_growth,0.4,balanced,1,94,21,0.22340425531914893,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.24145971359134505,-0.0731802366138325,0.8181818181818182,20,0.07582587807093732,3.2587886166639635,0.004780241412754349,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2
42,max_resistance_growth,0.5,balanced,1,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.16827947697751255,0.0,1.0,20,0.07187659738471097,3.2587886166639635,0.05186154556733902,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,weights,,performance,1,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,0.5173888807609638,0.0,1.0,20,0.07187659738471097,3.2587886166639635,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,weights,,conservative,1,94,23,0.24468085106382978,5,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,5,3,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.4561353888487606,0.0,0.9047619047619048,20,0.07187659738471097,3.2587886166639635,0.001861545567339029,39.010878451548706,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T25_C2_D80_0;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_2;T45_C1_D80_0;T45_C1_D80_1;T45_C2_D80_1
123,baseline,,balanced,0,94,17,0.18085106382978725,4,True,ABSTAIN_INSUFFICIENT_FEASIBILITY,8,4,4,INSUFFICIENT_ELIGIBLE_CELLS,False,-0.3578855782573368,0.0,1.0,16,0.0740115960088743,17.785814815617563,0.02561271275087723,300.74002723806734,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D80_3;T35_C0p5_D80_1;T35_C2_D80_0;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D50_1;T45_C1_D80_2;T45_C2_D50_3;baseline_1
