decision_mode,scenario,group_number,group_signature,cell_id,cycle_750_soh,cycle_1000_soh,soh_change,cycle_750_resistance,cycle_1000_resistance,resistance_growth_increment,post_750_event_observed,post_750_observed_or_censor_duration,post_750_censor_duration,cycle_750_continuity_error,post_750_cycles,rul_change_status,rul_change_cycles,rul_change_lower_bound_cycles,rul_change_upper_bound_cycles
INTERVAL_RISK,baseline_use,1,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T25_C0p5_D100_0,0.850573,0.8155403216938131,-0.03503267830618695,0.065518,0.06962781220959535,0.06272798634871868,False,250,250,4.883881983275273e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,1,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T35_C0p5_D80_1,0.84933,0.819632380999122,-0.029697619000878084,0.065492,0.06875704485945464,0.04985410217209196,False,250,250,4.913482913870837e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,1,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T35_C0p5_D80_3,0.851754,0.8225346640559164,-0.029219335944083658,0.071187,0.07476105442997298,0.05020656060759654,False,250,250,3.909149639547138e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,1,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T35_C1_D80_0,0.851232,0.8233056487696842,-0.027926351230315838,0.070145,0.07372240704067251,0.05100017165403825,False,250,250,2.761284127184016e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,2,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T25_C0p5_D100_1,0.866921,0.83572130652145,-0.031199693478550006,0.06209,0.06602981967638331,0.06345336892226316,False,250,250,4.094669221466063e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,2,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T25_C2_D80_0,0.871697,0.8448379144928331,-0.02685908550716698,0.068863,0.07257904518169815,0.05396287094227903,False,250,250,4.2894993645958834e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,2,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T35_C1_D80_2,0.862673,0.8368941684779865,-0.025778831522013546,0.069078,0.07266876146661429,0.05198125983112267,False,250,250,4.708089995641984e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,2,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T45_C2_D50_2,0.861061,0.8377600987354371,-0.023300901264562857,0.067451,0.07045032728238203,0.04446675782986209,False,250,250,4.973189149382051e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,3,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T25_C0p5_D100_3,0.857587,0.8241988744629364,-0.033388125537063607,0.066435,0.07054282310884051,0.06183221357478019,False,250,250,2.818569442980534e-07,250,REFERENCE,0.0,0.0,0.0
INTERVAL_RISK,baseline_use,3,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",T25_C1_D100_2,0.842036,0.8067655234465345,-0.03527047655346549,0.063371,0.06709241212626586,0.05872421338255451,False,250,250,3.898323444051499e-07,250,REFERENCE,0.0,0.0,0.0
