decision_mode,scenario,group_number,group_signature,cell_id,cycle_750_soh,cycle_1000_soh,soh_change,cycle_750_resistance,cycle_1000_resistance,resistance_growth_increment,post_750_event_observed,post_750_observed_or_censor_duration,post_750_censor_duration,cycle_750_continuity_error,post_750_cycles,rul_change_status,rul_change_cycles,rul_change_lower_bound_cycles,rul_change_upper_bound_cycles
POINT,baseline_use,1,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D100_0,0.850573,0.8155403216938131,-0.03503267830618695,0.065518,0.06962781220959535,0.06272798634871868,False,250,250,4.883881983275273e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,1,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D100_2,0.859399,0.8264354904045281,-0.032963509595471896,0.068746,0.07301960431558455,0.062165134198128635,False,250,250,4.727016929412242e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,1,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T35_C0p5_D80_1,0.84933,0.819632380999122,-0.029697619000878084,0.065492,0.06875704485945464,0.04985410217209196,False,250,250,4.913482913870837e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,1,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T35_C0p5_D80_3,0.851754,0.8225346640559164,-0.029219335944083658,0.071187,0.07476105442997298,0.05020656060759654,False,250,250,3.909149639547138e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,2,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D50_0,0.920859,0.8980886589836437,-0.022770341016356332,0.055603,0.058149218741105194,0.04579283026284897,False,250,250,3.7850377269943447e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,2,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D50_3,0.921381,0.8987605144020884,-0.022620485597911633,0.057333,0.059930926574451815,0.04531293625750976,False,250,250,4.858861526457758e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,2,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C1_D50_0,0.922871,0.9017367111399219,-0.021134288860078065,0.056414,0.05898876822836585,0.045640589718258795,False,250,250,4.78657656288739e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,2,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C1_D50_3,0.921112,0.8994945577754749,-0.021617442224525107,0.062608,0.06555162979710799,0.0470168316686046,False,250,250,4.930885688647635e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,3,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D50_1,0.928478,0.9079000887151137,-0.020577911284886286,0.06128,0.06414047634629008,0.04667879155173105,False,250,250,3.818103580036092e-07,250,REFERENCE,0.0,0.0,0.0
POINT,baseline_use,3,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1",T25_C0p5_D50_2,0.923474,0.9014559782747501,-0.022018021725249914,0.060585,0.06330970073024937,0.044973190232720395,False,250,250,2.7169528546422406e-07,250,REFERENCE,0.0,0.0,0.0
