decision_mode,scenario,group_count,stable_count,reinspect_count,reject_count,weakest_soh,largest_resistance_range,group_signature
POINT,baseline_use,8,5,2,1,0.797415168031386,0.015379347102847385,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1"
POINT,high_temperature,8,3,2,3,0.7813700933127348,0.022944813389935925,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1"
POINT,high_c_rate,8,5,2,1,0.7943081618938621,0.016844341850418942,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1"
POINT,high_dod,8,4,2,2,0.7863147010395576,0.01808613116735125,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1"
POINT,combined_stress,8,3,2,3,0.758597895834553,0.029549269516456755,"T25_C0p5_D100_0,T25_C0p5_D100_2,T35_C0p5_D80_1,T35_C0p5_D80_3|T25_C0p5_D50_0,T25_C0p5_D50_3,T25_C1_D50_0,T25_C1_D50_3|T25_C0p5_D50_1,T25_C0p5_D50_2,T25_C1_D50_1,T25_C2_D50_1|T25_C0p5_D80_0,T25_C0p5_D80_2,T35_C2_D50_0,T45_C0p5_D50_1|T25_C1_D100_0,T35_C2_D80_2,T35_C2_D80_3,T45_C0p5_D80_1|T25_C1_D50_2,T25_C2_D50_0,T25_C2_D50_3,T35_C0p5_D50_3|T25_C2_D100_2,T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2|T25_C2_D50_2,T35_C0p5_D50_0,T35_C0p5_D50_1,T35_C1_D50_1"
INTERVAL_RISK,baseline_use,8,5,1,2,0.7957857449651572,0.018986611092401073,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2"
INTERVAL_RISK,high_temperature,8,2,1,5,0.7807424025430185,0.02832649609754867,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2"
INTERVAL_RISK,high_c_rate,8,5,1,2,0.793194838454236,0.020795208468456172,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2"
INTERVAL_RISK,high_dod,8,3,1,4,0.784253523538909,0.026018525446311447,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2"
INTERVAL_RISK,combined_stress,8,1,1,6,0.7568175340102951,0.0425140739794192,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2"
