seed,held_out_scenario,training_scenarios,strategy,candidate_group_count,training_reject_group_count,robust_candidate_group_count,max_feasible_groups,selected_groups,group_shortfall,thresholds_relaxed,selection_status,selection_worst_training_margin,n_groups,stable_count,reinspect_count,reject_count,stable_rate_target,selected_group_reject_rate,weakest_soh,largest_resistance_range,worst_safety_margin
42,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,799,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,1,4,0.0,0.8,0.7885528362534527,0.013857329554889608,-1.0156665492941217
42,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,799,799,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
42,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,799,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.77204161571217,0.020672482851251228,-1.0
42,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,799,799,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
42,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,799,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7855317244271582,0.015177031924075157,-1.012051131247623
42,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,799,799,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
42,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,799,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7771971994354709,0.014484745509562247,-1.017638187645478
42,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,799,799,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
42,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,799,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7482977765345078,0.02366638440047697,-1.0
42,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,799,787,12,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.0398820011200538,1,0,0,1,0.0,1.0,0.7846946814108486,0.02587678286367434,-1.0
123,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,535,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,2,1,1,0.25,0.25,0.7933217285712679,0.020787430392875006,-1.0
123,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,535,534,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.4452931305437229,1,0,1,0,0.0,0.0,0.8401334235899246,0.014182852935068935,-0.45130228566125274
123,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,535,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,0,3,0.125,0.75,0.7791974494184062,0.031014188608875726,-1.0
123,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,535,534,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.45130228566125297,1,0,1,0,0.0,0.0,0.8288409378783554,0.021157836644289052,-0.42037282347982985
123,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,535,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,2,1,1,0.25,0.25,0.7905866698204956,0.02276776399064584,-1.0
123,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,535,534,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.45130228566125297,1,0,1,0,0.0,0.0,0.8379467200046204,0.015533505242625978,-0.44529313054372355
123,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,535,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,0,3,0.125,0.75,0.7811478801538317,0.028397615151019684,-1.0
123,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,535,534,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.45130228566125297,1,0,1,0,0.0,0.0,0.8314099054036577,0.02416287079249324,-0.4130185250453251
123,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,535,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7552263308486534,0.046402804715013124,-1.0
123,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,535,517,18,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.08457145879194528,1,0,0,1,0.0,1.0,0.7936371109775946,0.04637747441184037,-1.0
2026,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,2,1,0.125,0.25,0.7885196675718337,0.014223281241203312,-1.0
2026,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7717700535836509,0.02122122530207049,-1.0
2026,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,1,2,0.125,0.5,0.7852762327873296,0.01557837964544384,-1.0
2026,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,1,2,0.125,0.5,0.7769317790476649,0.015143101796584846,-1.0
2026,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7479979288593683,0.02474832906190283,-1.0
