seed,held_out_scenario,strategy,group_number,group_id,members
42,baseline_use,REFERENCE_INTERVAL_RISK,1,candidate_00052,T25_C0p5_D100_0;T25_C0p5_D80_0;T25_C2_D80_0;T35_C2_D80_2
42,baseline_use,REFERENCE_INTERVAL_RISK,2,candidate_00286,T25_C0p5_D100_3;T25_C1_D100_1;T35_C0p5_D80_3;T35_C1_D80_1
42,baseline_use,REFERENCE_INTERVAL_RISK,3,candidate_00382,T25_C1_D100_0;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3
42,baseline_use,REFERENCE_INTERVAL_RISK,4,candidate_00695,T35_C0p5_D100_1;T35_C1_D100_1;T35_C2_D80_3;T45_C0p5_D80_0
42,baseline_use,REFERENCE_INTERVAL_RISK,5,candidate_00796,T35_C2_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,high_temperature,REFERENCE_INTERVAL_RISK,1,candidate_00052,T25_C0p5_D100_0;T25_C0p5_D80_0;T25_C2_D80_0;T35_C2_D80_2
42,high_temperature,REFERENCE_INTERVAL_RISK,2,candidate_00286,T25_C0p5_D100_3;T25_C1_D100_1;T35_C0p5_D80_3;T35_C1_D80_1
42,high_temperature,REFERENCE_INTERVAL_RISK,3,candidate_00382,T25_C1_D100_0;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3
42,high_temperature,REFERENCE_INTERVAL_RISK,4,candidate_00695,T35_C0p5_D100_1;T35_C1_D100_1;T35_C2_D80_3;T45_C0p5_D80_0
42,high_temperature,REFERENCE_INTERVAL_RISK,5,candidate_00796,T35_C2_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,high_c_rate,REFERENCE_INTERVAL_RISK,1,candidate_00052,T25_C0p5_D100_0;T25_C0p5_D80_0;T25_C2_D80_0;T35_C2_D80_2
42,high_c_rate,REFERENCE_INTERVAL_RISK,2,candidate_00286,T25_C0p5_D100_3;T25_C1_D100_1;T35_C0p5_D80_3;T35_C1_D80_1
42,high_c_rate,REFERENCE_INTERVAL_RISK,3,candidate_00382,T25_C1_D100_0;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3
42,high_c_rate,REFERENCE_INTERVAL_RISK,4,candidate_00695,T35_C0p5_D100_1;T35_C1_D100_1;T35_C2_D80_3;T45_C0p5_D80_0
42,high_c_rate,REFERENCE_INTERVAL_RISK,5,candidate_00796,T35_C2_D80_0;T45_C0p5_D80_2;T45_C1_D80_1;T45_C2_D80_1
42,high_dod,REFERENCE_INTERVAL_RISK,1,candidate_00052,T25_C0p5_D100_0;T25_C0p5_D80_0;T25_C2_D80_0;T35_C2_D80_2
